gold_id,prerequisites,unlocks
LING 2G,Placement based on English Language Placement Examination.,None
LING 3A,Placement based on Analytical Writing Placement Exam (AWPE)and English Language Placement Examination (ELPE).,"LING 3B, LING W 3B"
LING 3B,Open to students who have a Ling 3B placement or a prerequisite of Ling 3A with a pass grade.,"LING 3B, LING 3C, LING W 3C, LING W 3B"
LING 3C,Open to students who have a Linguistics 3C placement; or Linguistics 3B with a minimum grade of C.,"LING 3C, LING W 3C, LING 12, LING W 12"
LING W 3B,Open to students who have a Ling 3B placement or a prerequisite of Ling 3A with a pass grade.,None
LING W 3C,Open to students who have a Ling 3C placement; or Linguistics 3B with a minimum grade of C.,None
LING 4,Consent of the instructor.,None
LING 3G,Graduate standing. Placement based on English Language Placement Examination scores.,None
LING 12,Open to students who have not satisfied the Entry Level Writing Requirement and have a Ling 12 placement or a prerequisite of Ling 3C with a grade of C or better.,"LING 12, LING W 12, WRIT 2, WRIT 2E"
LING W 12,Open to students who have not satisfied the Entry Level Writing Requirement and have a Ling 12 placement or a prerequisite of Ling 3C with a grade of C or better.,None
LING 14,No Prerequisites,None
LING 15,No Prerequisites,None
LING 80,No Prerequisites,None
LING 99,NONE,None
LING 105,Linguistics 104,None
LING 108,Linguistics 101 OR Linguistics 107.,LING 109
LING 10,Undergraduate-standing.,None
LING 20,No Prerequisites,"LING 147LD, LING 125, LING 137, LING 147, LING 147CS, LING 129"
LING 106,Department approval to finalize registration.,"LING 146, LING 107, LING 145"
LING 132,No Prerequisites,None
LING 137,Linguistics 20.,None
LING 147LD,LING 20 or upper-division standing.,None
LING 191,Consent of instructor.,None
LING 195B,Senior standing; consent of instructor.,LING 195C
LING 195C,Linguistics 195B.,None
LING 199,Upper-division standing; completion of 2 upper-division courses in linguistics; consent of instructor.,None
MARINCS 10,No Prerequisites,None
MARSC 595,No Prerequisites,None
MAT 200A,Consent of instructor.,None
MAT 240A,No Prerequisites,"MATH 241C, MATH 241B"
MAT 255,No Prerequisites,None
MAT 261A,No Prerequisites,None
MAT 261B,No Prerequisites,None
MAT 276IA,"MAT majors and graduate non-majors in areas of electrical engineering, computer science, physics and math; consent of instructor.",None
MAT 276LA,"Graduate MAT majors and graduate non-majors in areas of electrical engineering, computer science, physics and math; consent of instructor.",None
MAT 293,Consent of instructor.,None
MAT 299,Consent of graduate advisor and Director of graduate studies.,None
MAT 502,Must be a T.A.,None
MAT 594CE,No Prerequisites,None
MAT 594P,No Prerequisites,None
MAT 595M,No Prerequisites,None
MAT 80AS,No Prerequisites,None
MAT 200B,No Prerequisites,None
MAT 201A,No Prerequisites,"MATH 246C, MATH 246B"
MAT 238,No Prerequisites,None
MAT 240C,No Prerequisites,"MATH 241C, MATH 241B"
MAT 254,No Prerequisites,None
MAT 261E,No Prerequisites,None
MAT 276LC,MAT 276LB.,None
MAT 294CR,No Prerequisites,None
MAT 80EM,No Prerequisites,None
MAT 10,No Prerequisites,MAT 189
MAT 110CF,Not open to freshmen.,None
MAT 111AU,Not open to freshmen.,None
MAT 111FS,Not open to freshmen.,None
MAT 111PF,Not open to freshmen.,None
MAT 111WN,Not open to freshmen.,None
MAT 189,MAT 10 or CMPSC 8 or CMPSCW 8,None
MATRL 100A,"Chemistry 1A-B and Mathematics 4B, 6A, 6B",None
MATRL 162A,"ECE 130A-B and 134 with a minimum grade of C- in all; open to EE, senior students in the BS/MS programs and Materials graduate students only.",None
MATRL 185,Materials 100B or 101.,None
MATRL 200A,No Prerequisites,None
MATRL 200Q,No Prerequisites,None
MATRL 200S,No Prerequisites,None
MATRL 205,No Prerequisites,None
MATRL 207,No Prerequisites,"MATRL 263, ME 267, MATRL 261"
MATRL 209A,No Prerequisites,None
MATRL 215A,ECE 132 or equivalent.,None
MATRL 222A,Consent of instructor.,None
MATRL 226,No Prerequisites,None
MATRL 241,"Chemistry 173A-B, and 175; or equivalent.",None
MATRL 253,No Prerequisites,None
MATRL 261,Materials 207; consent of instructor.,None
MATRL 268A,ECE 162A-B-C; or MATRL 162A-B and ECE 162C; or ECE 144.,None
MATRL 271A,Consent of instructor.,None
MATRL 280A,No Prerequisites,None
MATRL 286N,Consent of instructor.,None
MATRL 289O,Consent of instructor.,None
MATRL 289P,Consent of instructor.,None
MATRL 290,Consent of instructor.,None
MATRL 501,Consent of graduate advisor.,None
MATRL 100C,Materials 100A and Materials 100B.,"ME 105, ME 156A"
MATRL 160,Chemical Engineering 110A or Chemistry 113A or equivalent.,None
MATRL 186B,Upper-division standing.,None
MATRL 200C,No Prerequisites,None
MATRL 206B,ECE 162A-B.,None
MATRL 209B,Consent of instructor.,None
MATRL 209C,Consent of instructor.,None
MATRL 211B,"ECE 211A or MATRL 211A, or ECE 215A or MATRL 206A.",None
MATRL 217,MATRL 162A-B or ECE 162A-B,None
MATRL 227,No Prerequisites,None
MATRL 234,Materials 207.,None
MATRL 242,No Prerequisites,None
MATRL 245,No Prerequisites,None
MATRL 263,Materials 207 (same course as ME 219); consent of instructor,None
MATRL 270,Consent of instructor.,None
MATRL 271C,No Prerequisites,None
MATRL 274,Chemistry 173A-B or equivalent.,None
MATRL 286H,Consent of instructor.,None
MATRL 286M,Consent of instructor.,None
MATRL 286Q,Consent of instructor.,None
MATRL 287A,Consent of instructor.,None
MATRL 289X,Consent of instructor.,None
MATRL 10,"Not open to engineering, pre-computer science, or computer science majors.",None
MATRL 100B,Materials 100A.,"MATRL 185, ME 185"
MATRL 101,No Prerequisites,"MATRL 185, ME 105, ME 156A, ME 185"
MATRL 135,Physics 5 or 6C or 25.,None
MATRL 162B,"ECE 162A with a minimum grade of C-; open to EE, senior students in the BS/MS programs and Materials graduate students only.",None
MATRL 186A,ME 151C; and ME 15; and Materials 101 or Materials 100C,None
MATRL 596,No Prerequisites,None
MCDB 1A,"Chemistry 1A-B-C with a grade of C- or better (Chem 1C may be taken concurrently), or a score of 4 or better on either the Advanced Placement Chemistry or Advanced Placement Biology exams.","EEMB 159, EEMB 170, MCDB W 111, EARTH 144, EEMB 3, EEMB 102"
MCDB 1AZ,Consent of department.,None
MCDB 1B,MCDB 1A and Chemistry 1A-B-C with a grade of C- or better; or MCDB 1A with a grade of C or better.,"EEMB 159, EEMB 170, MCDB W 111, EARTH 144, EEMB 3, EEMB 102"
MCDB 6,Chem 1A-B with a minimum grade of C- or better in each.,EEMB 7
MCDB 11,Concurrent enrollment in Chemistry 1A or Chemistry 2A.,None
MCDB 15SF,Freshmen/1st year Prebiology majors only.,None
MCDB 26,No Prerequisites,None
MCDB 84,Lower-division standing; instructor and departmental approval required.,None
MCDB 92,No Prerequisites,None
MCDB 98,Consent of instructor and department.,None
MCDB 99,Consent of instructor and department.,None
MCDB 101A,"MCDB 1A-B, EEMB 2; and, Chemistry 1A-B-C; completion of all listed prerequisites with a grade of C or better.","MCDB 101B, MCDB 135, MCDB 136H, MCDB 140L, MCDB 153, MCDB 118"
MCDB 101L,MCDB 101A-B or EEMB 129; MCDB 101B may be taken concurrently. Completion of all listed prerequisites with a grade of C or better.,None
MCDB 103,"MCDB 1A, and EEMB 2 and MCDB 1B. Completion of all listed prerequisites wita grade of C or better.","MCDB 103H, MCDB 103L"
MCDB 103H,Concurrent enrollment in MCDB 103; consent of instructor.,None
MCDB 108A,"MCDB 1A, and EEMB 2 and MCDB 1B; and Chemistry 1A-B-C; and Chemistry 109A-B-C (Chem 109C may be taken concurrently). Completion of all listed prerequisites with a grade of C or better.","CHEM 145, CHEM 151, BMSE 201B, BMSE 204, CHEM 112B, CHEM 112A"
MCDB 108AH,MCDB 108A or MCDB W 108A (may be taken concurrently). Consent of instructor.,None
MCDB 111,"MCDB 1A, and EEMB 2 and MCDB 1B with a grade of C or better.",MCDB 111H
MCDB 111H,Concurrent enrollment in MCDB 111; consent of instructor.,None
MCDB 126,MCDB 101A (may be taken concurrently) or Chemistry 142C; Chemistry 109A-B-C. Completion of all listed prerequisites with a grade of C or better.,"PSY 134, MCDB 126AL"
MCDB 12,Concurrent enrollment in Chemistry 1B or 2B.,None
MCDB 13,Concurrent enrollment in Chemistry 1C or Chemistry 2C.,None
MCDB 101B,"MCDB 1A, EEMB 2 and MCDB 1B, and MCDB 101A. Completion of all listed prerequisites with a grade of C or better.","MCDB 135, MCDB 136H, MCDB 140L, MCDB 101L, MCDB 101BH, MCDB 232"
MCDB 108C,MCDB 108A-B with a grade of C or better or MCDB W 108A and MCDB 108B with a grade of C or better; Physics 6A-B-C with minimum grade of C (Physics 6C may be taken concurrently); Math 34A-B with a grade of C or better or Math 3A-B with a grade of C or better or Math 2A-B with a grade of C or better.,"CHEM 112C, BMSE 201B, CHEM 143, CHEM 162A, CHEM 243, CHEM 141"
MCDB 109L,MCDB 108A or MCDB W 108A; and MCDB 108B; and MCDB 1A-1B. Completion of all listed prerequisites with a grade of C or better.,None
MCDB 110,Chemistry 1A-B-C; and Chemistry 109A-B. Completion of all listed prerequisites with a grade of C or better.,"MCDB 140L, MCDB 131"
MCDB 118,"MCDB 1A, and EEMB 2 and MCDB 1B; and, MCDB 101A or EEMB 129. Completion of all listed prerequisites with a grade of C or better.",None
MCDB 133,MCDB 101A with a grade of C or better.,"MCDB 133L, MCDB 133H"
MCDB 133H,Concurrent enrollment in MCDB 133.,None
MCDB 133L,MCDB 133 with a grade of C or better (may be taken concurrently).,None
MCDB 135,MCDB 101A-B with a grade of C or better.,MCDB 135H
MCDB 135H,Concurrent enrollment in MCDB 135; consent of instructor.,None
MCDB 136H,MCDB 101A and MCDB 101B (101B may be taken concurrently) with a minimum grade of C.,None
MCDB 139,"MCDB 1A, and EEMB 2 and MCDB 1B, and EEMB 3. Completion of all prerequisites with a grade of C or better.",MCDB 139H
MCDB 139H,Concurrent enrollment in MCDB 139; consent of instructor.,None
MCDB 1BZ,Consent of department.,None
MCDB 1LL,Grade of C- or better in MCDB 1A (may be taken concurrently).,None
MCDB 20,No Prerequisites,"ENV S 111, GEOG 149"
MCDB 108B,MCDB 108A or MCDB W 108A with a grade of C or better. Chem 109C with a grade of C or better.,"CHEM 112C, BMSE 201B, CHEM 112B, CHEM 143, CHEM 162A, CHEM 243"
MCDB W 111,"MCDB 1A, and EEMB 2 and MCDB 1B with a grade of C or better.",None
MCDB 183,Upper-division standing and consent of instructor.,None
MCDB 184,Upper-division standing; instructor and departmental approval required.,None
MCDB 192,Chem 1A-B-C with a minimum grade of C; MCDB 1A-B and EEMB 2 with a minimum grade of C. Upper-division standing in EEMB or MCDB and consent of instructor or department.,None
ME 11,Lower-division standing.,None
ME 12S,Mechanical engineering majors only.,None
ME 14,"Math 2B, or Math 3B, or AP Calculus AB with a score of 5, or AP Calculus BCwith a score of 3 or better; and Physics 7A, or Physics 1.","ME W 16, ME 16, ME 180, ME 151A, ME 156A, ME 15"
ME 17,Engineering 3; open to ME majors only.,"ECE 179P, ME 155A, ME 179P, ECE 141A, ME 107, ME 140A"
ME 18,No Prerequisites,None
ME 95,Consent of instructor.,None
ME 97,Consent of instructor.,None
ME 99,Consent of instructor.,None
ME 100,Undergraduate standing.,None
ME 103,Math 6B and ME 16,"ME 104, ME 105, ME 189A"
ME 105,"ME 151B, ME 152A, ME 103; and MATRL 101 or MATRL 100C.",None
ME 107,ME 17; or consent of instructor,None
ME 112,Senior Undergraduate or Graduate Student status in the College of Engineering; or consent of Instructor,None
ME 125AS,Consent of instructor.,None
ME 125TB,Consent of instructor.,None
ME 125TD,Consent of instructor.,None
ME 125YZ,Consent of instructor.,None
ME 128,"Mechanical Engineering 10, 14, 15, 16, and 153; open to ME majors only.",None
ME 140A,"ME 17 with a minimum grade of C-, or Chemical Engineering 132A.",None
ME 151A,"Physics 7D or Physics 2, and ME 14 with a minimum grade of C-, and Math 6B or Math 5C","ECE 141A, ME 157, ME 141A, ME 151B, ME 220B, THTR 111A"
ME 152A,"Math 6B or Math 5C, and ME 16 with a minimum grade of C-, and Physics 7B orPhysics 2.","ME 151C, ECE 141A, ME 102, ME 105, ME 157, ME 189A"
ME 154,"ME 15 with a minimum grade of C-; and, ME 16 with a minimum grade of C-; open to ME majors only.",None
ME 156A,"ME 14, with a minimum grade of C-; and ME 15, with a minimum grade of C-; and MATRL 101 (or MATRL 100C); or consent of instructor. Open to ME majors only.",ME 156B
ME 157,ME 151A; and ME 151B; and ME 152A,None
ME 10,Mechanical Engineering majors only.,"ME 153, ME 158"
ME 13,No Prerequisites,None
ME 16,"Physics 7A or Physics 2, and ME 14 with a minimum grade of C-, and Math 6B or Math 5C (may be taken concurrently); open to ME majors only.","ME 153, ME 197, ECE 141A, ME 103, ME 152A, ME 154"
ME 104,ME 6 and ME 103; open to ME majors only.,None
ME 125F,Consent of instructor.,None
ME 125RA,Consent of instructor.,None
ME 125YV,Consent of instructor.,None
ME 129,No Prerequisites,None
ME 134,Consent of Instructor,None
ME 135,ME 152A,None
ME 141B,"ME 141A, ME 163 (may be concurrent); or ECE 141A.",None
ME 146,No Prerequisites,None
ME 151C,ME 151B and 152A. Open to ME majors only.,"MATRL 186A, ME 186A, THTR 111C"
ME 153,ME 10 and 16 or ME W 16; open to ME majors only.,ME 189A
ME 155A,ME 17 with a minimum grade of C-; ME 163.,"ME 155C, ECE 179D, ECE 289, ME 179D"
ME 155C,ME 155A.,None
ME 166,ME 15.,None
ME W 167,ME 15,None
ME 169,Physics 105A or Physics 103; or ME 163 or upper-division standing in ECE.,None
ME 6,"Physics 7B, or Physics 3 and Physics 3L; and Mathematics 4A, or 4AI, or 3C;open to ME majors only.","ME 104, ME 179L"
ME 12,ME majors only.,None
ME 15,ME 14 with a minimum grade of C-; open to mechanical engineering majors only.,"ME 166, ME W 167, ME 180, MATRL 186A, ME 154, ME 156A"
ME 102,ME151B and ME152A; or by consent of Instructor,None
ME 108,ME 14; ME 15,None
ME 125ED,Consent of instructor.,None
ME 125EH,Consent of instructor.,None
ME 125FA,Consent of instructor.,None
ME 125KF,Consent of instructor.,None
ME 125MV,Consent of instructor.,None
ME 125RM,Consent of instructor.,None
ME 127,ME 16 or ME W 16.,None
ME 141A,ME 16 or ME W 16 and 17; ME 152A and ME 151A (may be concurrent); or ECE 130A & 137A with a minimum grade of C- in both.,"ECE 141B, ME 141B"
ME 151B,ME 151A and 152A.,"ME 151C, ME 102, ME 105, ME 157, ME 189A, ME 220B"
ME 152B,ME 152A. Open to ME majors only.,ME 220B
ME 156B,ME 156A. Open to ME majors only.,None
ME 158,ME 10; open to ME majors only.,None
ME 159,Upper-division standing.,None
ME 163,ME 16 or ME W 16 with a minimum grade of C-; open to ME majors only.,"ECE 141B, ECE 183, ME 141B, ME 155A, ME 169, PHYS 106"
ME 186A,ME 151C; and ME 15; and Materials 101 or Materials 100C,None
ME W 16,"Physics 7A or Physics 2, and ME 14 with a minimum grade of C-, and Math 6B or Math 5C (may be taken concurrently); open to ME majors only.",None
ME 193,Consent of instructor. Prior departmental approval needed.,None
ME 197,ME 16; consent of instructor.,None
ME 199,Consent of instructor; upper-division standing; completion of two upper-division courses in Mechanical Engineering.,None
ME ST 199,Upper-division standing; completion of at least two upper-division courses in medieval studies.,None
ME ST 200A,Consent of instructor.,None
ME ST 200C,Consent of instructor.,None
MS 1A,none,None
MS 2AA,none,None
MS 6,No Prerequisites,None
MS 22,No Prerequisites,MS 190
MS 99,Consent of instuctor and department.,None
MS 131,Junior standing.,"MS 190, MS 132"
MS 141,Military Science 133; senior standing.,MS 142
MS 190,"Students must have had successfully completed MS 131, 132, and MS 133, and three quarters of MS 22 prior to attending this course. Students must meet US Army Officer contracted Qualification and Documentation Requirements.",None
MS 199,Upper-division standing; completion of at least two upper-division courses in military science; open only to ROTC advanced students approved by the department chair.,None
MS 1C,none,None
MS 2AC,none,None
MS 133,Military Science 132; junior standing.,"MS 190, MS 141"
MS 143,Military Science 142; senior standing.,None
MS 1AB,none,None
MS 2AB,none,None
MS 132,Military Science 131; junior standing.,"MS 133, MS 190"
MS 142,Military Science 141; senior standing.,MS 143
MUS 1,No Prerequisites,"CMPSC 196, CMPSC 196B, ECE 196"
MUS 3A,No prerequisites.,MUS 3B
MUS 4A,"Placement exam. A grade of at least C- is required in each course of the Music 4 series. Must be taken consecutively, and concurrently with the Music 5 series.",None
MUS 4D,"Placement Exam. A grade of at least C- is required in each course of the Music 4 series. Must be taken consecutively, and concurrently with the Music 5 series.",None
MUS 5A,Placement Exam or Music 11.,None
MUS 6,Music 5C.,None
MUS 8,Consent of instructor.,None
MUS 10A,No Prerequisites,"MUS 182, MUS 184"
MUS 11,No Prerequisites,"MUS 20A, MUS 5A"
MUS 15,No Prerequisites,None
MUS 16,No Prerequisites,None
MUS 17,No Prerequisites,None
MUS 20A,Music 11 or UCSB Exam 38 (Music Theory Placement Test) with a score of 1 or higher. Placement by audition on the first day of class.,None
MUS 22D,No Prerequisites,None
MUS 22M,No Prerequisites,None
MUS 22N,No Prerequisites,None
MUS 22O,No Prerequisites,None
MUS 22X,No Prerequisites,None
MUS 24,Consent of instructor.,MUS 124
MUS 3C,"Music 3B with a minimum grade of C-, or consent of instructor.",None
MUS 4C,"Placement Exam. A grade of at least C- is required in each course of the Music 4 series. Must be taken consecutively, and concurrently with the Music 5 series.","MUS 160P, MUS 160C, MUS 160A, MUS 160B"
MUS 4F,"Placement Exam. A grade of at least C- is required in each course of the Music 4 series. Must be taken consecutively, and concurrently with the Music 5 series.",None
MUS 5C,"Placement exam. A grade of at least C- is required in each course of the Music 5 series. Must be taken consecutively, and concurrently with the Music 4 series.","MUS 160P, MUS 108, MUS 160C, MUS 106B, MUS 6, MUS 101A"
MUS CS 5,Consent of Instructor,None
MUS 10C,No Prerequisites,"MUS 182, MUS 184"
MUS 25,By audition. Departmental approval required prior to registration. Consent of instructor to finalize registration.,"MUS 158D, MUS A 139, MUS 51, MUS 150, MUS 158B"
MUS 26A,By audition. Consent of instructor and department.,None
MUS 26B,By audition. Consent of instructor and department.,None
MUS 26D,By audition. Consent of instructor and department.,None
MUS 26E,By audition. Consent of instructor and department.,None
MUS 27A,By audition. Consent of instructor and department.,None
MUS 3B,"Music 3A with a minimum grade of C-, or consent of instructor.",MUS 3C
MUS 4B,"Placement Exam. A grade of at least C- is required in each course of the Music 4 series. Must be taken consecutively, and concurrently with the Music 5 series.",None
MUS 4E,"Placement Exam. A grade of at least C- is required in each course of the Music 4 series. Must be taken consecutively, and concurrently with the Music 5 series.",None
MUS 5B,Placement exam. A grade of at least C- is required in each course of the Music 5 series. Must be taken concurrently with the Music 4 series.,None
MUS 10B,No Prerequisites,"MUS 182, MUS 184"
MUS 114,Upper-division standing.,None
MUS A 34,Enrollment by audition.,None
MUS A 36,Enrollment by audition.,None
MUS A 37,No Prerequisites,None
MUS A 40,Enrollment by audition.,None
MUS A 41,By audition.,None
MUS A 42,Enrollment by audition.,None
MUS A 43,Audition.,None
MUS A 44,Enrollment by audition.,None
MUS A 45,By audition.,None
MUS A 45BR,Enrollment by audition.,None
MUS A 45H,Enrollment by audition.,None
MUS A 47S,Enrollment by audition.,None
MUS A 49,Enrollment by audition.,None
MUS A 70I,Enrollment by audition.,None
MUS A 70J,Enrollment by audition.,None
MUS A 70M,Enrollment by audition.,None
MUS A 70N,Enrollment by audition.,None
MUS A 70V,Enrollment by audition.,None
MUS A 134,Enrollment by audition. For upper-division students.,None
MUS A 136,Enrollment by audition.,None
MUS A 137,No Prerequisites,None
MUS A 140,Enrollment by audition. For upper-division students.,None
MUS A 141,Enrollment by audition. Upper-division students only.,None
MUS A 37M,No audition required.,None
MUS A 38P,By audition only.,None
MUS A 38,By audition only.,None
MUS A 52,No Prerequisites,None
PHIL 1,No Prerequisites,PHIL 136
PHIL 3,No Prerequisites,PHIL 100A
PHIL 4,No Prerequisites,"PHIL 136, PHIL 134"
PHIL 20A,No Prerequisites,None
PHIL 100A,"One prior course in philosophy; or, Philosphy 3 (may be taken concurrently)","PHIL 139, PHIL 150A, PHIL 136, PHIL 150B, PHIL 166B, PHIL 138"
PHIL 100D,One prior course in philosophy.,"PHIL 149, PHIL 150A, PHIL 150B, PHIL 161, PHIL 135, PHIL 134"
PHIL 117,"A course from PHIL 100A-F, or two prior courses in philosophy.",None
PHIL 124G,No Prerequisites,None
PHIL 128,"Philosophy 100A; or, two prior courses in philosophy.",None
PHIL 135,Philosophy 100B or 100D or 100E.,None
PHIL 141,"Philosophy 100A; or, two prior courses in philosophy.",None
PHIL 143,No Prerequisites,None
PHIL 151,One prior upper-division course in Philosophy and one additional course in philosophy.,None
PHIL 152,One prior upper-division course in Philosophy and one additional course in philosophy.,None
PHIL 156,One prior upper-division course in Philosophy and one additional course in philosophy.,None
PHIL 183,No Prerequisites,"PHIL 116, PHIL 184"
PHIL 197A,Enrollment limited to senior honors philosophy majors; by consent of instructor and departmental approval.,None
PHIL 197B,Enrollment limited to senior honors philosophy majors; by consent of instructor and departmental approval.,None
PHIL 197P,Upper-division standing in philosophy; consent of department.,None
PHIL 199,Upper-division standing; completion of 2 upper-division courses in philosophy.,None
PHIL 199RA,Upper-division standing.,None
PHIL 217,No Prerequisites,None
PHIL 224G,No Prerequisites,None
PHIL 228G,No Prerequisites,None
PHIL 20C,No Prerequisites,None
PHIL 100C,One prior course in philosophy.,"PHIL 149, PHIL 150A, PHIL 150B, PHIL 134"
PHIL 100E,One prior course in philosophy.,"PHIL 149, PHIL 150A, PHIL 150B, PHIL 161, PHIL 135, PHIL 134"
PHIL 124A,A prior course in philosophy.,None
PHIL 124F,A prior course in philosophy.,None
PHIL 134,"Philosophy 4 or 100A; and, Philosophy 100B or 100C or 100D or 100E.",None
PHIL 139,"Philosophy 100A; or, two prior courses in philosophy.",None
PHIL 149,"One prior course from Philosophy 100B, 100C, 100D, and 100E; or, two prior course in philosophy.",None
PHIL 150A,Two courses from Philosophy 100A or 100B or 100C or 100D or 100E or 100F.,None
PHIL 184,Philosophy 183.,None
PHIL 189,Two prior upper-division courses in philosophy.,None
PHIL 224A,No Prerequisites,None
PHIL 224F,No Prerequisites,None
PHIL 7,No Prerequisites,None
PHIL 20B,No Prerequisites,PHIL 160
PHIL 100B,One prior course in philosophy.,"PHIL 149, PHIL 150A, PHIL 150B, PHIL 161, PHIL 135, PHIL 134"
PHIL 121,"Major in philosophy, law & society, political science, or global and international studies.",None
PHIL 130,Prerequisite: one prior course in philosophy.,None
PHIL 136,Philosophy 1 or Philosophy 4 or Philosophy 100A,None
PHIL 138,"Philosophy 100A; or, two prior courses in philosophy.",None
PHIL 150B,Two courses from Philosophy 100A or 100B or 100C or 100D or 100E or 100F.,None
PHIL 153,One prior upper-division course in Philosophy and one additional course in philosophy.,None
PHIL 161,Philosophy 100B or 100D or 100E.,None
PHIL 100F,"One prior course in philosophy; or major in physics, chemistry, or biology.","PHIL 150A, PHIL 150B, PHIL 117, PHIL 127"
PHIL 145,No Prerequisites,None
POL S 1,No Prerequisites,"POL S 110CD, POL S 110DA, POL S 110ET, POL S 114, POL S 187, POL S 188"
POL S 6,No Prerequisites,"POL S 146, POL S 132, POL S 134, POL S 149, POL S 150A, POL S 176"
POL S 7,No Prerequisites,"POL SW 121, POL S 145, POL S 146, POL S 186, GLOBL 123, POL S 131"
POL S 12,No Prerequisites,"AS AM 160, ENV S 163A, POL S 155, POL S 162, POL S 170, POL S 176"
POL S 15,No Prerequisites,"POL S 132, POL S 134, POL S 149, POL S 166, POL S 170, POL S 143"
POL S 99,Consent of instructor and department.,None
POL S 106CD,"Upper-division, full POLS major standing.",None
POL S 106GR,"Upper-division, full POLS major standing.",None
POL S 106PP,"Upper-division, full POLS major standing.",None
POL S 110AN,Political Science 1.,None
POL S 121,Political Science 7.,POL S 126
POL S 124,Political Science 7.,None
POL S 126,"Political Science 7 or 121, and 15.",None
POL S 172,Political Science 15.,None
POL S 177,Environmental Studies 1 or Political Science 6,None
POL S 188,Political Science 1; upper-division standing.,None
POL S 192,Upper-division standing; consent of department prior to enrollment.,None
POL S 196,No Prerequisites,None
POL S 197A,Senior standing; consent of department.,None
POL S 199,Upper-division standing; completion of two prior upper-division courses in political science; major in political science; consent of department.,None
POL S 199RA,Upper-division standing; completion of 2 upper-division courses in politicascience; consent of instructor and department.,None
POL S 205,No Prerequisites,"SOC 205B, SOC 205A"
POL S 211,No Prerequisites,None
POL S 272,Political Science 225 or equivalent.,None
POL SH 7,No Prerequisites,None
POL S 106CR,"Upper-division, full POLS major standing.",None
POL S 106EA,"Upper-division, full POLS major standing.",None
POL S 106EJ,"Upper-division, full POLS major standing.",None
POL S 110CD,Political Science 1.,None
POL S 131,Political Science 7 and upper-division standing.,None
POL S 132,Political Science 6 and 15.,None
POL S 133,POLS 6 or POLS 7.,None
POL S 134,"Political Science 6 or 7, and 15.",None
POL S 141,Political Science 7.,None
POL S 142,Political Science 7.,None
POL S 149,Political Science 6 and 15; not open to freshmen.,None
POL S 150A,POL S 6 or 7.,None
POL S 160,Political Science 12 or Asian American Studies 1 or Asian American Studies 2.,None
POL S 162,Political Science 12.,None
POL S 106AD,"Upper-division, full POLS major standing.",None
POL S 106AS,"Upper-division, full POLS major standing.",None
POL S 106BT,"Upper-division, full POLS major standing.",None
POL S 106HR,"Upper-division, full POLS major standing.",None
POL S 117,Political Science 6,None
POL S 119JW,Political Science 1 and 7.,None
POL S 135,Political Science 6.,None
POL S 143,Political Science 6 and 15; not open to freshmen.,None
POL S 147,Political Science 6.,None
POL S 166,Political Science 15.,None
POL S 173,Upper-division standing.,None
POL S 197B,Senior standing; consent of department.,None
POL S 101,No Prerequisites,None
POL SW 121,Political Science 7.,None
POL S 145,POL S 7.,None
POL S 146,Political Science 6 or 7; upper-division standing.,None
POL S 186,POLS 7 or GLOBL 2; upper-division standing.,None
POL S 596,A written proposal for each tutorial must be approved by the instructor andthe department graduate advisor and filed with the department graduate offi,None
PORT 1,No Prerequisites,PORT 2
PORT W 1,No Prerequisites,None
PORT 4,"Portuguese 3 or Portuguese 16B, either class must be passed with a grade of P or a grade of C or higher.",PORT 5
PORT 31,No prerequisites,None
PORT 32,No Prerequisites,None
PORT 102A,Portuguese 6,None
PORT 125A,Upper-division standing.,None
PORT 195,Admission to the Portuguese senior honors program.,None
PORT 199,Upper-division standing; completion of 2 upper-division courses in Portuguese; consent of department.,None
PORT 591,No Prerequisites,None
PORT 592,No Prerequisites,None
PORT 596,Consent of the program advisor.,None
PORT 3,Portuguese 2 with a grade of P or a grade of C or higher.,"GLOBL 196C, GLOBL 196B, GLOBL 196A, PORT 4"
PORT 6,"Portuguese 5 with a grade of P, or a grade of C or higher.","PORT 147, PORT 145, PORT 102A"
PORT 16B,Portuguese 16A with a grade of P or a grade of C or higher.,PORT 4
PORT 130B,Upper-division standing.,None
PORT 147,Portuguese 6,None
PORT 593,No Prerequisites,None
PORT 2,"Portuguese 1, or Portuguese 16A, with a grade of P or a grade of C or higher.",PORT 3
PORT 5,"Portuguese 4 with a grade of P, or a grade of C or higher.",PORT 6
PORT 16A,No Prerequisites,"PORT 16B, PORT 2"
PORT 105E,Upper-division standing,None
PORT 114,Upper-division standing.,None
PORT 129C,Upper-division standing.,None
RENST 199,Upper-division standing; completion of 2 upper-division courses in Renaissance Studies.,None
RG ST 4,none,None
RG ST 10A,No Prerequisites,"RG ST 10C, RG ST 10D"
RG ST 10D,Religious Studies 10A-B-C.,RG ST 10E
RG ST 11A,No Prerequisites,RG ST 11B
RG ST 14,No Prerequisites,None
RG ST 28,No Prerequisites,None
RG ST 29,No Prerequisites,None
RG ST 30,No Prerequisites,None
RG ST 35,No Prerequisites,None
RG ST 37,No Prerequisites,None
RG ST 58A,Instructor approval.,RG ST 58B
RG ST 58D,RG ST 58C or Instructor Approval.,RG ST 158E
RG ST 73,No Prerequisites,None
RG ST 98,No Prerequisites,None
RG ST 99,minimum 3.0 cumulative GPA,None
